


Date	Local_time	Epoch_time	AcqTime_(s)	Line	Species	Flowmeter_(ml/min)	Encoder_counts	Diff_counts	Cond_(uS/cm)	Cond_Temp	Dust(#>1.0Mikrom)	EDAQ_Volts	pH_disabled	Na_disabled	SO4_disabled	Ca_disabled	H2O2_disabled	NH4_disabled	MQ/SPLE	NEW BAG	BREAK	LOG	
15/09/2022	10:22:03	1663208523.598434920	0.0	Blank	Blank	8.2940E-1	-2.1000E+1	0.0000E+0	8.4000E-1	2.4200E+1	6.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
15/09/2022	10:22:04	1663208524.598492140	1.0	Blank	Blank	7.3450E-1	-2.1000E+1	0.0000E+0	8.4000E-1	2.4200E+1	3.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
15/09/2022	10:22:05	1663208525.598549370	2.0	Blank	Blank	8.4405E-1	-2.1000E+1	0.0000E+0	8.4000E-1	2.4200E+1	5.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
15/09/2022	10:22:06	1663208526.598606590	3.0	Blank	Blank	8.1295E-1	-2.1000E+1	0.0000E+0	8.4000E-1	2.4200E+1	1.6000E+1	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
15/09/2022	10:22:07	1663208527.598663810	4.0	Blank	Blank	7.3810E-1	-2.1000E+1	0.0000E+0	8.4000E-1	2.4200E+1	5.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
15/09/2022	10:22:08	1663208528.598721030	5.0	Blank	Blank	8.2395E-1	-2.1000E+1	0.0000E+0	8.4000E-1	2.4200E+1	5.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
15/09/2022	10:22:09	1663208529.598778250	6.0	Blank	Blank	7.6240E-1	-2.1000E+1	0.0000E+0	8.4000E-1	2.4200E+1	3.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
15/09/2022	10:22:10	1663208530.598835470	7.0	Blank	Blank	8.0600E-1	-2.1000E+1	0.0000E+0	8.4000E-1	2.4200E+1	4.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
15/09/2022	10:22:11	1663208531.598892690	8.0	Blank	Blank	8.3530E-1	-2.1000E+1	0.0000E+0	8.4000E-1	2.4200E+1	3.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
15/09/2022	10:22:12	1663208532.597949500	9.0	Blank	Blank	7.2435E-1	-2.1000E+1	0.0000E+0	8.4000E-1	2.4200E+1	8.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
15/09/2022	10:22:13	1663208533.598006720	10.0	Blank	Blank	7.8780E-1	-2.1000E+1	0.0000E+0	8.4000E-1	2.4200E+1	7.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
15/09/2022	10:22:14	1663208534.598063950	11.0	Blank	Blank	8.3615E-1	-2.1000E+1	0.0000E+0	8.4000E-1	2.4200E+1	6.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
15/09/2022	10:22:15	1663208535.598121170	12.0	Blank	Blank	6.7855E-1	-2.1000E+1	0.0000E+0	8.4000E-1	2.4200E+1	1.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
15/09/2022	10:22:16	1663208536.598178390	13.0	Blank	Blank	7.7820E-1	-2.1000E+1	0.0000E+0	8.4000E-1	2.4200E+1	4.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
15/09/2022	10:22:17	1663208537.598235610	14.0	Blank	Blank	8.9050E-1	-2.1000E+1	0.0000E+0	8.4000E-1	2.4200E+1	6.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
15/09/2022	10:22:18	1663208538.598292830	15.0	Blank	Blank	6.8615E-1	-2.1000E+1	0.0000E+0	8.4000E-1	2.4200E+1	2.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
15/09/2022	10:22:19	1663208539.598350050	16.0	Blank	Blank	7.4370E-1	-2.1000E+1	0.0000E+0	8.4000E-1	2.4200E+1	3.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
15/09/2022	10:22:20	1663208540.598407270	17.0	Blank	Blank	9.2475E-1	-2.1000E+1	0.0000E+0	8.4000E-1	2.4200E+1	2.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
15/09/2022	10:22:21	1663208541.598464490	18.0	Blank	Blank	7.2695E-1	-2.1000E+1	0.0000E+0	8.4000E-1	2.4200E+1	3.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
15/09/2022	10:22:22	1663208542.598521710	19.0	Blank	Blank	7.6300E-1	-2.1000E+1	0.0000E+0	8.4000E-1	2.4200E+1	9.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
15/09/2022	10:22:23	1663208543.598578930	20.0	Blank	Blank	9.1175E-1	-2.1000E+1	0.0000E+0	8.4000E-1	2.4200E+1	2.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
15/09/2022	10:22:24	1663208544.598636150	21.0	Blank	Blank	7.0910E-1	-2.1000E+1	0.0000E+0	8.4000E-1	2.4200E+1	2.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
15/09/2022	10:22:25	1663208545.598693370	22.0	Blank	Blank	7.7375E-1	-2.1000E+1	0.0000E+0	8.4000E-1	2.4200E+1	5.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
15/09/2022	10:22:26	1663208546.598750590	23.0	Blank	Blank	8.8780E-1	-2.1000E+1	0.0000E+0	8.4000E-1	2.4200E+1	4.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
15/09/2022	10:22:27	1663208547.598807810	24.0	Blank	Blank	7.4745E-1	-2.1000E+1	0.0000E+0	8.4000E-1	2.4200E+1	1.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
15/09/2022	10:22:28	1663208548.598865030	25.0	Blank	Blank	7.7450E-1	-2.1000E+1	0.0000E+0	8.3000E-1	2.4200E+1	4.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
15/09/2022	10:22:29	1663208549.598922250	26.0	Blank	Blank	8.7580E-1	-2.1000E+1	0.0000E+0	8.5000E-1	2.4200E+1	2.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
15/09/2022	10:22:30	1663208550.597979070	27.0	Blank	Blank	7.2685E-1	-2.1000E+1	0.0000E+0	8.5000E-1	2.4200E+1	1.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
15/09/2022	10:22:31	1663208551.598036290	28.0	Blank	Blank	8.1885E-1	-2.1000E+1	0.0000E+0	8.5000E-1	2.4200E+1	4.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
