


Date	Local_time	Epoch_time	AcqTime_(s)	Line	Species	Flowmeter_(ml/min)	Encoder_counts	Diff_counts	Cond_(uS/cm)	Cond_Temp	Dust(#>1.0Mikrom)	EDAQ_Volts	pH_disabled	Na_disabled	SO4_disabled	Ca_disabled	H2O2_disabled	NH4_disabled	MQ/SPLE	NEW BAG	BREAK	LOG	
24/08/2022	13:19:45	1661318385.111708640	0.0	Blank	Blank	8.5060E-1	2.2000E+1	0.0000E+0	7.9300E+0	2.7300E+1	3.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
24/08/2022	13:19:46	1661318386.111765860	1.0	Blank	Blank	9.9290E-1	2.2000E+1	0.0000E+0	7.9300E+0	2.7300E+1	5.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
24/08/2022	13:19:47	1661318387.111823080	2.0	Blank	Blank	8.1980E-1	2.2000E+1	0.0000E+0	7.9300E+0	2.7300E+1	8.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
24/08/2022	13:19:48	1661318388.111880300	3.0	Blank	Blank	8.4500E-1	2.2000E+1	0.0000E+0	7.9300E+0	2.7300E+1	9.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
24/08/2022	13:19:49	1661318389.111937520	4.0	Blank	Blank	9.9000E-1	2.2000E+1	0.0000E+0	7.9300E+0	2.7300E+1	8.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
24/08/2022	13:19:50	1661318390.111994740	5.0	Blank	Blank	7.9855E-1	2.2000E+1	0.0000E+0	7.9300E+0	2.7300E+1	6.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
24/08/2022	13:19:51	1661318391.112051960	6.0	Blank	Blank	8.8115E-1	2.2000E+1	0.0000E+0	7.9300E+0	2.7300E+1	5.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
24/08/2022	13:19:52	1661318392.111109260	7.0	Blank	Blank	9.5675E-1	2.2000E+1	0.0000E+0	7.9300E+0	2.7300E+1	1.0000E+1	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
24/08/2022	13:19:53	1661318393.111166480	8.0	Blank	Blank	8.2000E-1	2.2000E+1	0.0000E+0	7.9300E+0	2.7300E+1	5.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
24/08/2022	13:19:54	1661318394.111223700	9.0	Blank	Blank	8.8135E-1	2.2000E+1	0.0000E+0	7.9300E+0	2.7300E+1	1.1000E+1	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
24/08/2022	13:19:55	1661318395.111280920	10.0	Blank	Blank	9.5250E-1	2.2000E+1	0.0000E+0	7.9300E+0	2.7300E+1	9.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
24/08/2022	13:19:56	1661318396.111337660	11.0	Blank	Blank	8.0340E-1	2.2000E+1	0.0000E+0	7.9300E+0	2.7300E+1	6.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
24/08/2022	13:19:57	1661318397.111394880	12.0	Blank	Blank	8.5590E-1	2.2000E+1	0.0000E+0	7.9300E+0	2.7300E+1	8.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
