


Date	Local_time	Epoch_time	AcqTime_(s)	Line	Species	Flowmeter_(ml/min)	Encoder_counts	Diff_counts	Cond_(uS/cm)	Cond_Temp	Dust(#>1.0Mikrom)	EDAQ_Volts	pH_disabled	Na_disabled	SO4_disabled	Ca_disabled	H2O2_disabled	NH4_disabled	MQ/SPLE	NEW BAG	BREAK	LOG	
28/09/2022	13:04:35	1664341475.518554210	0.0	Sample	Sample	7.6635E-1	0.0000E+0	0.0000E+0	2.0000E+0	2.6700E+1	2.3970E+3	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	1.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	13:04:36	1664341476.519611360	1.0	Sample	Sample	9.9185E-1	0.0000E+0	0.0000E+0	2.0000E+0	2.6700E+1	2.3970E+3	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	1.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	13:04:37	1664341477.519668580	2.0	Sample	Sample	9.3330E-1	-5.2000E+1	5.2000E+1	2.2100E+0	2.6700E+1	3.8100E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	1.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	13:04:38	1664341478.519725800	3.0	Sample	Sample	8.0845E-1	-9.7000E+1	1.3000E+1	2.2300E+0	2.6700E+1	1.5340E+3	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	1.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	13:04:39	1664341479.519783020	4.0	Sample	Sample	9.4830E-1	-1.1300E+2	1.6000E+1	2.2500E+0	2.6700E+1	2.2010E+3	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	1.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	13:04:40	1664341480.519840240	5.0	Sample	Sample	9.7440E-1	-1.3100E+2	1.8000E+1	2.2800E+0	2.6700E+1	2.3240E+3	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	1.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	13:04:41	1664341481.519897460	6.0	Sample	Sample	8.4420E-1	-1.5200E+2	2.1000E+1	2.3000E+0	2.6700E+1	2.4680E+3	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	1.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	13:04:42	1664341482.519954680	7.0	Sample	Sample	8.3775E-1	-1.7400E+2	2.2000E+1	2.3300E+0	2.6700E+1	2.4070E+3	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	1.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	13:04:43	1664341483.520011900	8.0	Sample	Sample	9.9060E-1	-1.9400E+2	2.0000E+1	2.3400E+0	2.6700E+1	2.4670E+3	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	1.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	13:04:44	1664341484.520069120	9.0	Sample	Sample	8.7245E-1	-2.1300E+2	1.9000E+1	2.3800E+0	2.6700E+1	2.4900E+3	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	1.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	13:04:45	1664341485.520125870	10.0	Sample	Sample	8.5635E-1	-2.3100E+2	1.8000E+1	2.4200E+0	2.6700E+1	2.5880E+3	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	1.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	13:04:46	1664341486.520183090	11.0	Sample	Sample	9.8895E-1	-2.5000E+2	1.9000E+1	2.4900E+0	2.6700E+1	2.4840E+3	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	1.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	13:04:47	1664341487.519240380	12.0	Sample	Sample	9.5235E-1	-2.6900E+2	1.9000E+1	2.5900E+0	2.6700E+1	2.4800E+3	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	1.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	13:04:48	1664341488.519297600	13.0	Sample	Sample	7.9695E-1	-2.8800E+2	1.9000E+1	2.6900E+0	2.6700E+1	2.3740E+3	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	1.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	13:04:49	1664341489.519354820	14.0	Sample	Sample	9.2555E-1	-3.0600E+2	1.8000E+1	2.8000E+0	2.6700E+1	2.2400E+3	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	1.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	13:04:50	1664341490.519412040	15.0	Sample	Sample	8.8235E-1	-3.2500E+2	1.9000E+1	2.8900E+0	2.6700E+1	2.1290E+3	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	1.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	13:04:51	1664341491.519469260	16.0	Sample	Sample	8.6030E-1	-3.4400E+2	1.9000E+1	2.9900E+0	2.6700E+1	2.3880E+3	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	1.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	13:04:52	1664341492.519526480	17.0	Sample	Sample	9.3635E-1	-3.6300E+2	1.9000E+1	3.1000E+0	2.6600E+1	2.5100E+3	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	1.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	13:04:53	1664341493.519583700	18.0	Sample	Sample	9.6015E-1	-3.8100E+2	1.8000E+1	3.2100E+0	2.6600E+1	2.3570E+3	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	1.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	13:04:54	1664341494.519640920	19.0	Sample	Sample	9.1680E-1	-4.0000E+2	1.9000E+1	3.3200E+0	2.6600E+1	2.3970E+3	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	1.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
