


Date	Local_time	Epoch_time	AcqTime_(s)	Line	Species	Flowmeter_(ml/min)	Encoder_counts	Diff_counts	Cond_(uS/cm)	Cond_Temp	Dust(#>1.0Mikrom)	EDAQ_Volts	pH_disabled	Na_disabled	SO4_disabled	Ca_disabled	H2O2_disabled	NH4_disabled	MQ/SPLE	NEW BAG	BREAK	LOG	
25/08/2022	09:45:51	1661391951.801411150	0.0	Blank	Blank	1.0090E+0	1.5648E+4	1.8500E+2	7.4100E+0	2.5600E+1	5.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
25/08/2022	09:45:52	1661391952.801468370	1.0	Blank	Blank	8.6105E-1	1.5626E+4	2.2000E+1	7.4100E+0	2.5600E+1	3.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
25/08/2022	09:45:53	1661391953.801525590	2.0	Blank	Blank	8.5800E-1	1.5589E+4	3.7000E+1	7.4100E+0	2.5600E+1	8.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
25/08/2022	09:45:54	1661391954.801582810	3.0	Blank	Blank	9.9065E-1	1.5597E+4	-8.0000E+0	7.4100E+0	2.5600E+1	4.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
25/08/2022	09:45:55	1661391955.801640030	4.0	Blank	Blank	8.5825E-1	1.5601E+4	-4.0000E+0	7.4100E+0	2.5600E+1	2.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
25/08/2022	09:45:56	1661391956.801697250	5.0	Blank	Blank	8.5570E-1	1.5602E+4	-1.0000E+0	7.4100E+0	2.5600E+1	4.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
25/08/2022	09:45:57	1661391957.801754470	6.0	Blank	Blank	9.8490E-1	1.5602E+4	0.0000E+0	7.4100E+0	2.5600E+1	1.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
25/08/2022	09:45:58	1661391958.801811690	7.0	Blank	Blank	8.6795E-1	1.5602E+4	0.0000E+0	7.4100E+0	2.5600E+1	5.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
25/08/2022	09:45:59	1661391959.801868920	8.0	Blank	Blank	8.8370E-1	1.5602E+4	0.0000E+0	7.4100E+0	2.5600E+1	4.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
25/08/2022	09:46:00	1661391960.801926140	9.0	Blank	Blank	9.7870E-1	1.5602E+4	0.0000E+0	7.4100E+0	2.5600E+1	2.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
