


Date	Local_time	Epoch_time	AcqTime_(s)	Line	Species	Flowmeter_(ml/min)	Encoder_counts	Diff_counts	Cond_(uS/cm)	Cond_Temp	Dust(#>1.0Mikrom)	EDAQ_Volts	pH_disabled	Na_disabled	SO4_disabled	Ca_disabled	H2O2_disabled	NH4_disabled	MQ/SPLE	NEW BAG	BREAK	LOG	
28/09/2022	09:46:21	1664329581.513256070	0.0	Blank	Blank	8.7295E-1	0.0000E+0	0.0000E+0	4.4000E-1	2.8000E+1	1.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	09:46:22	1664329582.513313290	1.0	Blank	Blank	7.4785E-1	0.0000E+0	0.0000E+0	4.4000E-1	2.8000E+1	0.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	09:46:23	1664329583.513370510	2.0	Blank	Blank	9.8105E-1	0.0000E+0	0.0000E+0	4.4000E-1	2.8000E+1	3.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	09:46:24	1664329584.513427730	3.0	Blank	Blank	9.7880E-1	0.0000E+0	0.0000E+0	4.4000E-1	2.8000E+1	3.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	09:46:25	1664329585.513484480	4.0	Blank	Blank	8.0770E-1	0.0000E+0	0.0000E+0	4.4000E-1	2.8000E+1	2.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	09:46:26	1664329586.513541700	5.0	Blank	Blank	6.7645E-1	0.0000E+0	0.0000E+0	4.4000E-1	2.8000E+1	2.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	09:46:27	1664329587.513598920	6.0	Blank	Blank	8.9815E-1	0.0000E+0	0.0000E+0	4.4000E-1	2.8000E+1	2.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	09:46:28	1664329588.513656140	7.0	Blank	Blank	8.1685E-1	0.0000E+0	0.0000E+0	4.4000E-1	2.8000E+1	0.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	09:46:29	1664329589.513713360	8.0	Blank	Blank	8.1515E-1	0.0000E+0	0.0000E+0	4.4000E-1	2.8000E+1	1.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	09:46:30	1664329590.513770580	9.0	Blank	Blank	1.0002E+0	0.0000E+0	0.0000E+0	4.4000E-1	2.8000E+1	2.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	09:46:31	1664329591.513827800	10.0	Blank	Blank	9.1855E-1	-1.0000E+0	1.0000E+0	4.4000E-1	2.8000E+1	1.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	09:46:32	1664329592.513885020	11.0	Blank	Blank	7.5745E-1	-1.0000E+0	0.0000E+0	4.4000E-1	2.8000E+1	1.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	09:46:33	1664329593.513942240	12.0	Blank	Blank	8.3410E-1	-1.0000E+0	0.0000E+0	4.4000E-1	2.8000E+1	1.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	09:46:34	1664329594.513999460	13.0	Blank	Blank	8.8035E-1	5.0500E+3	-5.0510E+3	4.4000E-1	2.8000E+1	1.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	09:46:35	1664329595.514056680	14.0	Blank	Blank	7.7925E-1	8.5340E+3	-3.4840E+3	4.4000E-1	2.8000E+1	1.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
