


Date	Local_time	Epoch_time	AcqTime_(s)	Line	Species	Flowmeter_(ml/min)	Encoder_counts	Diff_counts	Cond_(uS/cm)	Cond_Temp	Dust (# > 1.0 Mikrom)	EDAQ_Volts	pH_disabled	Na_disabled	SO4_disabled	Ca_disabled	H2O2_disabled	NH4_disabled	MQ/SPLE	NEW BAG	BREAK	LOG	
07/09/2022	12:56:59	1662526619.668004510	21.0	Sample	Sample	1.1550E+0	1.2728E+4	1.9000E+1	5.9000E-1	2.3400E+1	1.8600E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:00	1662526620.669061660	22.0	Sample	Sample	9.8705E-1	1.2710E+4	1.8000E+1	5.8000E-1	2.3400E+1	1.8900E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:01	1662526621.668118950	23.0	Sample	Sample	1.0738E+0	1.2692E+4	1.8000E+1	5.7000E-1	2.3400E+1	1.6200E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:02	1662526622.668176170	24.0	Sample	Sample	1.1795E+0	1.2673E+4	1.9000E+1	5.7000E-1	2.3400E+1	1.5900E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:03	1662526623.668233390	25.0	Sample	Sample	1.0018E+0	1.2655E+4	1.8000E+1	5.6000E-1	2.3400E+1	1.7700E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:04	1662526624.667290210	26.0	Sample	Sample	9.6055E-1	1.2636E+4	1.9000E+1	5.6000E-1	2.3400E+1	1.5000E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:05	1662526625.668347840	27.0	Sample	Sample	1.1604E+0	1.2617E+4	1.9000E+1	5.8000E-1	2.3400E+1	1.6100E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:06	1662526626.668405060	28.0	Sample	Sample	9.7690E-1	1.2599E+4	1.8000E+1	6.0000E-1	2.3400E+1	1.4800E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:07	1662526627.668462280	29.0	Sample	Sample	1.0033E+0	1.2580E+4	1.9000E+1	6.1000E-1	2.3400E+1	1.4300E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:08	1662526628.668519500	30.0	Sample	Sample	1.1867E+0	1.2562E+4	1.8000E+1	6.5000E-1	2.3400E+1	1.1500E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:09	1662526629.668576720	31.0	Sample	Sample	9.7780E-1	1.2543E+4	1.9000E+1	6.7000E-1	2.3400E+1	1.3000E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:10	1662526630.668633940	32.0	Sample	Sample	1.0427E+0	1.2525E+4	1.8000E+1	7.0000E-1	2.3400E+1	1.4200E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:11	1662526631.668690680	33.0	Sample	Sample	1.0427E+0	1.2506E+4	1.9000E+1	7.3000E-1	2.3400E+1	1.3100E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:12	1662526632.668747900	34.0	Sample	Sample	9.6650E-1	1.2488E+4	1.8000E+1	7.7000E-1	2.3400E+1	1.3200E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:13	1662526633.668805120	35.0	Sample	Sample	1.1195E+0	1.2469E+4	1.9000E+1	8.0000E-1	2.3400E+1	1.0600E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:14	1662526634.668862340	36.0	Sample	Sample	1.0441E+0	1.2451E+4	1.8000E+1	8.4000E-1	2.3400E+1	1.0100E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:15	1662526635.668919560	37.0	Sample	Sample	9.6310E-1	1.2432E+4	1.9000E+1	8.5000E-1	2.3400E+1	1.1000E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:16	1662526636.668976780	38.0	Sample	Sample	1.0165E+0	1.2414E+4	1.8000E+1	8.9000E-1	2.3400E+1	1.0500E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:17	1662526637.669034000	39.0	Sample	Sample	1.1344E+0	1.2395E+4	1.9000E+1	9.4000E-1	2.3400E+1	1.0500E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:18	1662526638.668091300	40.0	Sample	Sample	9.6755E-1	1.2377E+4	1.8000E+1	9.7000E-1	2.3400E+1	1.2000E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:19	1662526639.668148520	41.0	Sample	Sample	9.6205E-1	1.2358E+4	1.9000E+1	1.0100E+0	2.3400E+1	1.1600E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:20	1662526640.668205740	42.0	Sample	Sample	1.1611E+0	1.2340E+4	1.8000E+1	1.0400E+0	2.3400E+1	1.2000E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:21	1662526641.668262960	43.0	Sample	Sample	9.6260E-1	1.2321E+4	1.9000E+1	1.0600E+0	2.3400E+1	1.4100E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:22	1662526642.668320180	44.0	Sample	Sample	9.3655E-1	1.2303E+4	1.8000E+1	1.0600E+0	2.3400E+1	1.7400E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:23	1662526643.668377400	45.0	Sample	Sample	1.1739E+0	1.2284E+4	1.9000E+1	1.0700E+0	2.3400E+1	1.9500E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:24	1662526644.668434620	46.0	Sample	Sample	1.0341E+0	1.2266E+4	1.8000E+1	1.0500E+0	2.3400E+1	2.1300E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
