


Date	Local_time	Epoch_time	AcqTime_(s)	Line	Species	Flowmeter_(ml/min)	Encoder_counts	Diff_counts	Cond_(uS/cm)	Cond_Temp	Dust(#>1.0Mikrom)	EDAQ_Volts	pH_disabled	Na_disabled	SO4_disabled	Ca_disabled	H2O2_disabled	NH4_disabled	MQ/SPLE	NEW BAG	BREAK	LOG	
24/08/2022	09:36:08	1661304968.106299880	0.0	Blank	Blank	1.0050E+0	-1.9000E+1	0.0000E+0	9.3400E+0	2.5500E+1	5.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
24/08/2022	09:36:09	1661304969.106357100	1.0	Blank	Blank	8.3535E-1	-1.9000E+1	0.0000E+0	9.3400E+0	2.5500E+1	4.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
24/08/2022	09:36:10	1661304970.106414320	2.0	Blank	Blank	8.6150E-1	-1.9000E+1	0.0000E+0	9.3400E+0	2.5500E+1	3.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
24/08/2022	09:36:11	1661304971.106471540	3.0	Blank	Blank	1.0028E+0	-1.9000E+1	0.0000E+0	9.3400E+0	2.5500E+1	5.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
24/08/2022	09:36:12	1661304972.106528760	4.0	Blank	Blank	8.8640E-1	-1.9000E+1	0.0000E+0	9.3400E+0	2.5500E+1	5.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
24/08/2022	09:36:13	1661304973.106585980	5.0	Blank	Blank	8.6465E-1	-1.9000E+1	0.0000E+0	9.3400E+0	2.5500E+1	6.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
24/08/2022	09:36:14	1661304974.106643200	6.0	Blank	Blank	9.4150E-1	-1.9000E+1	0.0000E+0	9.3400E+0	2.5500E+1	8.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
24/08/2022	09:36:15	1661304975.106700420	7.0	Blank	Blank	8.7050E-1	-1.9000E+1	0.0000E+0	9.3400E+0	2.5500E+1	5.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
24/08/2022	09:36:16	1661304976.105757710	8.0	Blank	Blank	8.4435E-1	-1.9000E+1	0.0000E+0	9.3400E+0	2.5500E+1	9.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
24/08/2022	09:36:17	1661304977.106814860	9.0	Blank	Blank	9.7175E-1	-1.9000E+1	0.0000E+0	9.3400E+0	2.5500E+1	8.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
24/08/2022	09:36:18	1661304978.106872080	10.0	Blank	Blank	8.7605E-1	-1.9000E+1	0.0000E+0	9.3400E+0	2.5500E+1	6.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
24/08/2022	09:36:19	1661304979.106929300	11.0	Blank	Blank	8.9465E-1	-1.9000E+1	0.0000E+0	9.3400E+0	2.5500E+1	5.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
24/08/2022	09:36:20	1661304980.106986520	12.0	Blank	Blank	9.2350E-1	-1.9000E+1	0.0000E+0	9.3400E+0	2.5500E+1	8.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
24/08/2022	09:36:21	1661304981.107043270	13.0	Blank	Blank	9.1020E-1	-1.9000E+1	0.0000E+0	9.3400E+0	2.5500E+1	1.0000E+1	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
24/08/2022	09:36:22	1661304982.107100490	14.0	Blank	Blank	8.9650E-1	-1.9000E+1	0.0000E+0	9.3400E+0	2.5500E+1	3.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
24/08/2022	09:36:23	1661304983.107157710	15.0	Blank	Blank	9.4690E-1	-1.9000E+1	0.0000E+0	9.3400E+0	2.5500E+1	3.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
24/08/2022	09:36:24	1661304984.107214930	16.0	Blank	Blank	8.9915E-1	-1.9000E+1	0.0000E+0	9.3400E+0	2.5500E+1	5.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
24/08/2022	09:36:25	1661304985.107272150	17.0	Blank	Blank	8.5470E-1	-1.9000E+1	0.0000E+0	9.3400E+0	2.5500E+1	8.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
24/08/2022	09:36:26	1661304986.107329370	18.0	Blank	Blank	9.2865E-1	-1.9000E+1	0.0000E+0	9.3400E+0	2.5500E+1	9.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
24/08/2022	09:36:27	1661304987.106386660	19.0	Blank	Blank	9.0475E-1	-1.9000E+1	0.0000E+0	9.3400E+0	2.5500E+1	8.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
24/08/2022	09:36:28	1661304988.105443950	20.0	Blank	Blank	8.2540E-1	-1.9000E+1	0.0000E+0	9.3400E+0	2.5500E+1	7.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
24/08/2022	09:36:29	1661304989.106501100	21.0	Blank	Blank	9.2645E-1	-1.9000E+1	0.0000E+0	9.3400E+0	2.5500E+1	1.1000E+1	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
