


Date	Local_time	Epoch_time	AcqTime_(s)	Line	Species	Flowmeter_(ml/min)	Encoder_counts	Diff_counts	Cond_(uS/cm)	Cond_Temp	Dust(#>1.0Mikrom)	EDAQ_Volts	pH_disabled	Na_disabled	SO4_disabled	Ca_disabled	H2O2_disabled	NH4_disabled	MQ/SPLE	NEW BAG	BREAK	LOG	
28/09/2022	14:59:24	1664348364.523582460	0.0	Blank	Blank	7.9900E-1	-4.4000E+1	0.0000E+0	8.8000E-1	2.8500E+1	3.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	14:59:25	1664348365.523639680	1.0	Blank	Blank	8.9700E-1	-5.0000E+1	6.0000E+0	8.8000E-1	2.8500E+1	4.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	14:59:26	1664348366.523696900	2.0	Blank	Blank	9.2500E-1	-5.0000E+1	0.0000E+0	8.8000E-1	2.8500E+1	2.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	14:59:27	1664348367.523754120	3.0	Blank	Blank	7.7985E-1	-5.0000E+1	0.0000E+0	8.8000E-1	2.8500E+1	5.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	14:59:28	1664348368.523811340	4.0	Blank	Blank	8.6775E-1	-5.0000E+1	0.0000E+0	8.8000E-1	2.8500E+1	2.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	14:59:29	1664348369.523868560	5.0	Blank	Blank	9.3925E-1	-5.0000E+1	0.0000E+0	8.8000E-1	2.8500E+1	4.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	14:59:30	1664348370.523925780	6.0	Blank	Blank	8.1125E-1	-5.0000E+1	0.0000E+0	8.8000E-1	2.8500E+1	4.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	14:59:31	1664348371.523983000	7.0	Blank	Blank	8.5795E-1	-5.0000E+1	0.0000E+0	8.8000E-1	2.8500E+1	1.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	14:59:32	1664348372.524040220	8.0	Blank	Blank	9.9280E-1	-5.0000E+1	0.0000E+0	8.8000E-1	2.8500E+1	1.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	14:59:33	1664348373.524097440	9.0	Blank	Blank	8.9065E-1	-5.0000E+1	0.0000E+0	8.8000E-1	2.8500E+1	2.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	14:59:34	1664348374.524154660	10.0	Blank	Blank	7.3410E-1	-5.0000E+1	0.0000E+0	8.8000E-1	2.8500E+1	1.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	14:59:35	1664348375.524211880	11.0	Blank	Blank	9.3805E-1	-5.0000E+1	0.0000E+0	8.8000E-1	2.8500E+1	0.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	14:59:36	1664348376.524269100	12.0	Blank	Blank	9.1315E-1	-5.0000E+1	0.0000E+0	8.8000E-1	2.8500E+1	2.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	14:59:37	1664348377.524326320	13.0	Blank	Blank	7.8145E-1	-5.0000E+1	0.0000E+0	8.8000E-1	2.8500E+1	1.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	14:59:38	1664348378.524383540	14.0	Blank	Blank	8.9200E-1	-5.0000E+1	0.0000E+0	8.8000E-1	2.8500E+1	0.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	14:59:39	1664348379.524440760	15.0	Blank	Blank	9.7110E-1	-5.0000E+1	0.0000E+0	8.8000E-1	2.8500E+1	1.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	14:59:40	1664348380.524497990	16.0	Blank	Blank	8.4370E-1	-5.0000E+1	0.0000E+0	8.8000E-1	2.8500E+1	1.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	14:59:41	1664348381.524555210	17.0	Blank	Blank	7.5310E-1	-5.0000E+1	0.0000E+0	8.8000E-1	2.8500E+1	2.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	14:59:42	1664348382.523612020	18.0	Blank	Blank	9.3485E-1	-5.0000E+1	0.0000E+0	8.8000E-1	2.8500E+1	1.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	14:59:43	1664348383.523669240	19.0	Blank	Blank	8.7610E-1	-5.0000E+1	0.0000E+0	8.8000E-1	2.8500E+1	2.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	14:59:44	1664348384.523726460	20.0	Blank	Blank	7.8030E-1	-5.0000E+1	0.0000E+0	8.8000E-1	2.8500E+1	3.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	14:59:45	1664348385.523783680	21.0	Blank	Blank	9.3835E-1	-5.0000E+1	0.0000E+0	8.8000E-1	2.8500E+1	0.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	14:59:46	1664348386.523840900	22.0	Blank	Blank	9.1925E-1	-5.0000E+1	0.0000E+0	8.8000E-1	2.8500E+1	1.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	14:59:47	1664348387.523898120	23.0	Blank	Blank	7.9195E-1	-5.0000E+1	0.0000E+0	8.8000E-1	2.8500E+1	0.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	14:59:48	1664348388.523955340	24.0	Blank	Blank	8.3305E-1	-5.0000E+1	0.0000E+0	8.8000E-1	2.8500E+1	2.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	14:59:49	1664348389.524012570	25.0	Blank	Blank	9.0700E-1	-5.0000E+1	0.0000E+0	8.8000E-1	2.8500E+1	1.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	14:59:50	1664348390.524069790	26.0	Blank	Blank	7.9525E-1	-5.0000E+1	0.0000E+0	8.8000E-1	2.8500E+1	2.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	14:59:51	1664348391.524127010	27.0	Blank	Blank	8.4050E-1	-5.0000E+1	0.0000E+0	8.9000E-1	2.8500E+1	2.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	14:59:52	1664348392.524184230	28.0	Blank	Blank	9.5655E-1	-5.0000E+1	0.0000E+0	8.9000E-1	2.8500E+1	1.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	14:59:53	1664348393.524241450	29.0	Blank	Blank	8.7145E-1	-5.0000E+1	0.0000E+0	8.9000E-1	2.8500E+1	1.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	14:59:54	1664348394.524298670	30.0	Blank	Blank	7.3995E-1	-5.0000E+1	0.0000E+0	8.9000E-1	2.8500E+1	1.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	14:59:55	1664348395.524355890	31.0	Blank	Blank	9.1315E-1	-5.0000E+1	0.0000E+0	8.9000E-1	2.8500E+1	1.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	14:59:56	1664348396.524413110	32.0	Blank	Blank	8.7800E-1	-5.0000E+1	0.0000E+0	8.9000E-1	2.8500E+1	2.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
28/09/2022	14:59:57	1664348397.524470330	33.0	Blank	Blank	8.0370E-1	-5.0000E+1	0.0000E+0	8.9000E-1	2.8500E+1	3.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
