


Date	Local_time	Epoch_time	AcqTime_(s)	Line	Species	Flowmeter_(ml/min)	Encoder_counts	Diff_counts	Cond_(uS/cm)	Cond_Temp	Dust(#>1.0Mikrom)	EDAQ_Volts	pH_disabled	Na_disabled	SO4_disabled	Ca_disabled	H2O2_disabled	NH4_disabled	MQ/SPLE	NEW BAG	BREAK	LOG	
25/08/2022	13:45:04	1661406304.802355770	0.0	Blank	Blank	8.3135E-1	1.4853E+4	3.0000E+0	7.0300E+0	2.7500E+1	5.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
25/08/2022	13:45:05	1661406305.802412990	1.0	Blank	Blank	9.3665E-1	1.4852E+4	1.0000E+0	7.0300E+0	2.7500E+1	3.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
25/08/2022	13:45:06	1661406306.802470210	2.0	Blank	Blank	9.3645E-1	1.4850E+4	2.0000E+0	7.0300E+0	2.7500E+1	8.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
25/08/2022	13:45:07	1661406307.802527430	3.0	Blank	Blank	8.8730E-1	1.4850E+4	0.0000E+0	7.0300E+0	2.7500E+1	2.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
25/08/2022	13:45:08	1661406308.802584650	4.0	Blank	Blank	9.2925E-1	1.4849E+4	1.0000E+0	7.0300E+0	2.7500E+1	5.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
25/08/2022	13:45:09	1661406309.802641870	5.0	Blank	Blank	9.1525E-1	1.4850E+4	-1.0000E+0	7.0300E+0	2.7500E+1	1.1000E+1	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
25/08/2022	13:45:10	1661406310.802699090	6.0	Blank	Blank	8.5575E-1	1.4849E+4	1.0000E+0	7.0300E+0	2.7500E+1	5.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
25/08/2022	13:45:11	1661406311.802756310	7.0	Blank	Blank	9.2155E-1	1.4849E+4	0.0000E+0	7.0300E+0	2.7500E+1	5.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
25/08/2022	13:45:12	1661406312.801813600	8.0	Blank	Blank	8.8365E-1	1.4849E+4	0.0000E+0	7.0300E+0	2.7500E+1	4.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
25/08/2022	13:45:13	1661406313.802870750	9.0	Blank	Blank	8.9555E-1	1.4849E+4	0.0000E+0	7.0300E+0	2.7500E+1	5.0000E+0	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
